year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,1001,4942,160,113,11993,17208,40.97512785
2000,1003,13997,1033,578,40872,56480,47.5832153
2000,1005,5188,46,65,5096,10395,0.885040885
2000,1007,2710,52,66,4273,7101,22.01098437
2000,1009,4977,154,175,12667,17973,42.78640182
2000,1011,3395,24,52,1433,4904,40.00815661
2000,1013,3606,36,34,4127,7803,6.676919134
2000,1015,15781,481,341,22306,38909,16.769899
2000,1017,5616,95,86,6037,11834,3.557546054
2000,1019,3497,77,95,4154,7823,8.398312668
2000,1021,4806,92,128,10066,15092,34.8529022
2000,1023,3707,33,34,3600,7374,1.451044209
2000,1025,4679,33,52,5988,10752,12.17447917
2000,1027,2045,52,67,3719,5883,28.45486996
2000,1029,1664,39,56,3333,5092,32.77690495
2000,1031,5220,155,121,9938,15434,30.56887391
2000,1033,10543,208,263,10518,21532,0.11610626
2000,1035,2783,35,34,2699,5551,1.513240858
2000,1037,2104,34,47,2382,4567,6.087146924
2000,1039,4440,123,89,8961,13613,33.21090134
2000,1041,1934,40,28,2793,4795,17.91449426
2000,1043,9758,282,328,19157,29525,31.83403895
2000,1045,4906,188,119,10593,15806,35.98000759
2000,1047,10967,63,74,7360,18464,19.53531196
2000,1049,7056,175,227,12827,20285,28.4495933
2000,1051,6652,212,163,16777,23804,42.53486809
2000,1053,4523,78,84,6975,11660,21.02915952
2000,1055,17433,435,393,21087,39348,9.286367795
2000,1057,3064,60,102,4582,7808,19.44159836
2000,1059,4793,72,119,6119,11103,11.94271818
2000,1061,2769,97,105,6588,9559,39.95187781
2000,1063,3504,24,18,850,4396,60.37306642
2000,1065,4652,43,52,2984,7731,21.57547536
2000,1067,2782,48,48,4054,6932,18.34968263
2000,1069,9412,257,238,22150,32057,39.73547119
2000,1071,9066,184,181,8475,17906,3.300569641
2000,1073,129889,3393,1990,138491,273763,3.14213389
2000,1075,2653,57,69,4470,7249,25.06552628
2000,1077,13875,354,430,17478,32137,11.2113763
2000,1079,6296,63,155,5671,12185,5.129257284
2000,1081,14574,895,362,22433,38264,20.53888773
2000,1083,8992,193,245,14204,23634,22.05297453
2000,1085,4557,18,30,1638,6243,46.75636713
2000,1087,7665,31,44,1091,8831,74.44230551
2000,1089,48199,1885,1083,62151,113318,12.31225401
2000,1091,4841,40,37,4690,9608,1.571606994
2000,1093,4600,125,121,6910,11756,19.64954066
2000,1095,10381,256,268,17084,27989,23.94869413
2000,1097,58640,1585,1358,78162,139745,13.96973058
2000,1099,3741,25,32,5153,8951,15.77477377
2000,1101,40371,677,453,38827,80328,1.922119311
2000,1103,16060,450,397,25774,42681,22.75954172
2000,1105,4020,18,17,1732,5787,39.53689304
2000,1107,4143,39,52,4306,8540,1.908665105
2000,1109,4357,75,54,6058,10544,16.13239757
